Date,Open,High,Low,Close,Adj Close,Volume,Days
2019-02-11,16.51,16.51,16.51,16.51,16.51,100,0
2019-02-12,16.77,16.77,16.77,16.77,16.77,0,1
2019-02-13,16.940001,17.040001,16.940001,17.040001,17.040001,1000,2
2019-02-14,16.959999,17.209999,16.959999,17.209999,17.209999,100,3
2019-02-15,17.6,17.6,17.6,17.6,17.6,100,4
2019-02-19,17.65,17.66,17.65,17.66,17.66,200,5
2019-02-20,17.709999,17.85,17.709999,17.85,17.85,300,6
2019-02-21,17.77,17.77,17.77,17.77,17.77,100,7
2019-02-22,17.959999,17.959999,17.860001,17.860001,17.860001,600,8
2019-02-25,17.860001,17.860001,17.860001,17.860001,17.860001,0,9
2019-02-26,17.389999,17.42,17.389999,17.42,17.42,200,10
2019-02-27,17.66,17.799999,17.66,17.799999,17.799999,500,11
2019-02-28,17.83,17.83,17.83,17.83,17.83,100,12
2019-03-01,17.799999,17.799999,17.41,17.41,17.41,800,13
2019-03-04,17.620001,17.620001,17.620001,17.620001,17.620001,0,14
2019-03-05,17.68,17.68,17.67,17.67,17.67,100,15
2019-03-06,17.360001,17.549999,17.360001,17.549999,17.549999,2100,16
2019-03-07,17.6,17.639999,17.6,17.620001,17.620001,300,17
2019-03-08,17.09,17.48,17.09,17.48,17.48,300,18
2019-03-11,17.58,17.67,17.58,17.67,17.67,300,19
2019-03-12,17.799999,17.799999,17.719999,17.719999,17.719999,100,20
2019-03-13,17.91,18.110001,17.9,18.110001,18.110001,9000,21
2019-03-14,18.09,18.09,18.09,18.09,18.09,100,22
2019-03-15,18.09,18.09,18.09,18.09,18.09,0,23
2019-03-18,18.209999,18.209999,18.209999,18.209999,18.209999,0,24
2019-03-19,18.200001,18.200001,18.16,18.16,18.16,1200,25
2019-03-20,18.16,18.16,18.16,18.16,18.16,0,26
2019-03-21,18.41,18.41,18.32,18.32,18.32,100,27
2019-03-22,17.940001,18.040001,17.940001,18.040001,18.040001,100,28
2019-03-25,17.93,18.08,17.93,18.08,18.08,200,29
2019-03-26,18.360001,18.379999,18.280001,18.280001,18.280001,4100,30
2019-03-27,18.17,18.17,18.129999,18.129999,18.129999,100,31
2019-03-28,18,18.129999,18,18.129999,18.129999,100,32
2019-03-29,18.360001,18.360001,18.209999,18.309999,18.309999,200,33
2019-04-01,18.5,18.700001,18.5,18.700001,18.700001,100,34
2019-04-02,18.799999,18.93,18.799999,18.93,18.93,200,35
2019-04-03,18.870001,18.92,18.870001,18.92,18.92,100,36
2019-04-04,18.85,18.98,18.76,18.84,18.84,1500,37
2019-04-05,18.98,19.110001,18.98,19.110001,19.110001,100,38
2019-04-08,19.190001,19.299999,19.190001,19.299999,19.299999,22200,39
2019-04-09,19.200001,19.23,19.200001,19.23,19.23,1700,40
2019-04-10,19.459999,19.459999,19.459999,19.459999,19.459999,100,41
2019-04-11,19.139999,19.27,19.139999,19.27,19.27,1700,42
2019-04-12,19.27,19.27,19.27,19.27,19.27,0,43
2019-04-15,19.129999,19.25,19.120001,19.25,19.25,20900,44
2019-04-16,19.120001,19.42,19.120001,19.42,19.42,300,45
2019-04-17,19.33,19.33,19.33,19.33,19.33,100,46
2019-04-18,19.290001,19.35,19.290001,19.35,19.35,100,47
2019-04-22,19.75,19.75,19.74,19.74,19.74,300,48
2019-04-23,19.889999,19.92,19.83,19.92,19.92,900,49
2019-04-24,19.93,19.93,19.799999,19.82,19.82,7300,50
2019-04-25,19.66,19.66,19.66,19.66,19.66,100,51
2019-04-26,19.66,19.66,19.66,19.66,19.66,0,52
2019-04-29,19.24,19.24,19.24,19.24,19.24,100,53
2019-04-30,19.34,19.34,19.32,19.32,19.32,200,54
2019-05-01,19.32,19.32,19.32,19.32,19.32,0,55
2019-05-02,19.32,19.32,19.32,19.32,19.32,0,56
2019-05-03,18.83,18.83,18.76,18.76,18.76,100,57
2019-05-06,18.690001,19.049999,18.690001,19.049999,19.049999,100,58
2019-05-07,19.049999,19.049999,19.049999,19.049999,19.049999,0,59
2019-05-08,19.049999,19.049999,19.049999,19.049999,19.049999,0,60
2019-05-09,19.049999,19.049999,19.049999,19.049999,19.049999,0,61
2019-05-10,18.799999,18.799999,18.709999,18.709999,18.709999,100,62
2019-05-13,18.51,18.51,18.51,18.51,18.51,100,63
2019-05-14,18.82,18.82,18.809999,18.809999,18.809999,100,64
2019-05-15,19.02,19.02,19.02,19.02,19.02,100,65
2019-05-16,19.17,19.200001,19.17,19.200001,19.200001,100,66
2019-05-17,19.200001,19.200001,19.200001,19.200001,19.200001,0,67
2019-05-20,19.200001,19.200001,19.200001,19.200001,19.200001,0,68
2019-05-21,19.16,19.16,19.16,19.16,19.16,100,69
2019-05-22,19.16,19.16,19.16,19.16,19.16,0,70
2019-05-23,18.049999,18.049999,17.5,17.639999,17.639999,200,71
2019-05-24,17.639999,17.639999,17.639999,17.639999,17.639999,0,72
2019-05-28,17.99,17.99,17.99,17.99,17.99,100,73
2019-05-29,17.99,17.99,17.99,17.99,17.99,0,74
2019-05-30,17.540001,17.540001,17.25,17.25,17.25,200,75
2019-05-31,16.85,16.85,16.25,16.25,16.25,400,76
2019-06-03,16.459999,16.5,16.110001,16.110001,16.110001,1500,77
2019-06-04,16.110001,16.110001,16.110001,16.110001,16.110001,0,78
2019-06-05,15.77,15.85,15.77,15.78,15.78,800,79
2019-06-06,15.68,16.219999,15.68,16.219999,16.219999,1200,80
2019-06-07,16.5,16.5,16.5,16.5,16.5,100,81
2019-06-10,16.5,16.5,16.5,16.5,16.5,0,82
2019-06-11,16.5,16.5,16.5,16.5,16.5,0,83
2019-06-12,15.69,15.69,15.69,15.69,15.69,100,84
2019-06-13,15.69,15.69,15.69,15.69,15.69,0,85
2019-06-14,16.120001,16.120001,16.120001,16.120001,16.120001,100,86
2019-06-17,16.120001,16.120001,16.120001,16.120001,16.120001,0,87
2019-06-18,16.120001,16.120001,16.120001,16.120001,16.120001,0,88
2019-06-19,16.57,16.57,16.57,16.57,16.57,100,89
2019-06-20,17.27,17.32,17.26,17.32,17.32,500,90
2019-06-21,17.41,17.469999,17.41,17.469999,17.469999,300,91
2019-06-24,17.41,17.51,17.280001,17.51,17.51,300,92
2019-06-25,17.469999,17.540001,17.469999,17.540001,17.540001,200,93
2019-06-26,17.92,18.07,17.92,17.940001,17.940001,200,94
2019-06-27,17.940001,17.940001,17.940001,17.940001,17.940001,0,95
2019-06-28,17.98,17.98,17.559999,17.559999,17.559999,100,96
2019-07-01,17.92,17.92,17.92,17.92,17.92,100,97
2019-07-02,17.129999,17.129999,17.129999,17.129999,17.129999,100,98
2019-07-03,17.27,17.27,17.27,17.27,17.27,100,99
2019-07-05,17.34,17.52,17.34,17.52,17.52,200,100
2019-07-08,17.48,17.48,17.48,17.48,17.48,100,101
2019-07-09,17.549999,17.639999,17.549999,17.639999,17.639999,200,102
2019-07-10,17.639999,17.639999,17.639999,17.639999,17.639999,0,103
2019-07-11,17.639999,17.639999,17.639999,17.639999,17.639999,0,104
2019-07-12,17.639999,17.639999,17.639999,17.639999,17.639999,0,105
2019-07-15,18.1,18.1,18,18,18,700,106
2019-07-16,17.67,17.67,17.67,17.67,17.67,100,107
2019-07-17,17.33,17.33,17.33,17.33,17.33,100,108
2019-07-18,16.860001,17.02,16.860001,17.02,17.02,400,109
2019-07-19,16.99,17.200001,16.99,17.200001,17.200001,100,110
2019-07-22,17.23,17.23,17.23,17.23,17.23,100,111
2019-07-23,17.41,17.41,17.41,17.41,17.41,100,112
2019-07-24,17.389999,17.389999,17.09,17.09,17.09,400,113
2019-07-25,17.09,17.09,17.09,17.09,17.09,0,114
2019-07-26,17.219999,17.219999,17.219999,17.219999,17.219999,100,115
2019-07-29,17.41,17.41,17.41,17.41,17.41,300,116
2019-07-30,17.440001,17.76,17.440001,17.76,17.76,400,117
2019-07-31,17.809999,17.809999,17.68,17.68,17.68,100,118
2019-08-01,16.620001,16.620001,16.620001,16.620001,16.620001,200,119
2019-08-02,17.02,17.02,16.85,16.85,16.85,1200,120
2019-08-05,16.629999,16.629999,16.629999,16.629999,16.629999,800,121
2019-08-06,16.33,16.33,16.33,16.33,16.33,800,122
2019-08-07,15.65,15.89,15.65,15.89,15.89,300,123
2019-08-08,15.76,15.98,15.76,15.98,15.98,100,124
2019-08-09,16.34,16.35,16.34,16.35,16.35,100,125
2019-08-12,16.34,16.35,16.34,16.35,16.35,100,126
2019-08-13,16.469999,17.209999,16.469999,17.209999,17.209999,1100,127
2019-08-14,16.639999,16.639999,16.639999,16.639999,16.639999,200,128
2019-08-15,16.33,16.43,16.33,16.43,16.43,200,129
2019-08-16,16.43,16.43,16.43,16.43,16.43,0,130
2019-08-19,16.799999,16.799999,16.799999,16.799999,16.799999,0,131
2019-08-20,16.809999,16.809999,16.809999,16.809999,16.809999,100,132
2019-08-21,16.799999,16.84,16.799999,16.84,16.84,300,133
2019-08-22,16.719999,16.76,16.719999,16.76,16.76,100,134
2019-08-23,16.290001,16.290001,16.290001,16.290001,16.290001,100,135
2019-08-26,16.290001,16.290001,16.290001,16.290001,16.290001,100,136
2019-08-27,16.459999,16.6,16.35,16.6,16.6,900,137
2019-08-28,16.92,16.92,16.92,16.92,16.92,200,138
2019-08-29,16.969999,17.049999,16.91,17.049999,17.049999,2500,139
2019-08-30,16.719999,16.719999,16.59,16.59,16.59,1000,140
2019-09-03,16.16,16.33,16.16,16.33,16.33,200,141
2019-09-04,17.040001,17.040001,17.040001,17.040001,17.040001,100,142
2019-09-05,17.280001,17.4,16.99,16.99,16.99,300,143
2019-09-06,17.15,17.15,17.15,17.15,17.15,100,144
2019-09-09,17.57,17.57,17.57,17.57,17.57,100,145
2019-09-10,17.51,17.51,17.43,17.43,17.43,200,146
2019-09-11,17.01,17.01,17.01,17.01,17.01,100,147
2019-09-12,16.780001,16.780001,16.780001,16.780001,16.780001,0,148
2019-09-13,16.719999,16.74,16.719999,16.73,16.73,1000,149
2019-09-16,17.809999,18.42,17.809999,18.08,18.08,2900,150
2019-09-17,17.57,17.85,17.49,17.51,17.51,2300,151
2019-09-18,17.43,17.440001,17.4,17.440001,17.440001,300,152
2019-09-19,17.629999,17.629999,17.6,17.6,17.6,100,153
2019-09-20,17.66,17.66,17.66,17.66,17.66,100,154
2019-09-23,17.58,17.68,17.58,17.68,17.68,300,155
2019-09-24,17.299999,17.299999,17.209999,17.209999,17.209999,400,156
2019-09-25,16.879999,17.129999,16.879999,17.129999,17.129999,300,157
2019-09-26,16.9,17.110001,16.9,17.110001,17.110001,100,158
2019-09-27,17.030001,17.030001,16.959999,16.959999,16.959999,100,159
