Date,Open,High,Low,Close,Adj Close,Volume,Days
2019-02-19,14.84,15.02,14.84,15.02,15.02,7941300,0
2019-02-20,15.07,15.21,15.03,15.07,15.07,9502300,1
2019-02-21,14.95,14.97,14.83,14.83,14.83,7577900,2
2019-02-22,14.92,14.99,14.9,14.95,14.95,4114000,3
2019-02-25,14.97,14.99,14.86,14.9,14.9,5508200,4
2019-02-26,14.94,14.95,14.83,14.94,14.94,4878700,5
2019-02-27,14.87,14.87,14.73,14.75,14.75,6797800,6
2019-02-28,14.75,14.75,14.61,14.63,14.63,5919700,7
2019-03-01,14.49,14.55,14.2,14.2,14.2,17580500,8
2019-03-04,14.16,14.19,14.12,14.15,14.15,9028900,9
2019-03-05,14.15,14.21,14.11,14.2,14.2,7148400,10
2019-03-06,14.17,14.17,14.11,14.15,14.15,6302700,11
2019-03-07,14.07,14.14,14.05,14.09,14.09,6009600,12
2019-03-08,14.32,14.42,14.3,14.41,14.41,8970900,13
2019-03-11,14.36,14.37,14.26,14.37,14.37,6610200,14
2019-03-12,14.46,14.51,14.41,14.48,14.48,7795500,15
2019-03-13,14.51,14.55,14.48,14.51,14.51,4718600,16
2019-03-14,14.25,14.27,14.2,14.24,14.24,7676200,17
2019-03-15,14.39,14.43,14.33,14.33,14.33,5630100,18
2019-03-18,14.41,14.47,14.36,14.39,14.39,4620400,19
2019-03-19,14.46,14.48,14.39,14.4,14.4,4290600,20
2019-03-20,14.45,14.59,14.32,14.54,14.54,13562700,21
2019-03-21,14.56,14.56,14.42,14.5,14.5,8086100,22
2019-03-22,14.45,14.49,14.41,14.45,14.45,4447000,23
2019-03-25,14.54,14.61,14.52,14.56,14.56,7324600,24
2019-03-26,14.54,14.54,14.43,14.47,14.47,4877600,25
2019-03-27,14.42,14.44,14.31,14.32,14.32,8431500,26
2019-03-28,14.17,14.17,14.04,14.07,14.07,15698100,27
2019-03-29,14.24,14.25,14.17,14.18,14.18,8460300,28
2019-04-01,14.24,14.25,14.14,14.15,14.15,7036700,29
2019-04-02,14.07,14.17,14.05,14.16,14.16,5549900,30
2019-04-03,14.1,14.22,14.1,14.2,14.2,7056000,31
2019-04-04,14.02,14.23,13.97,14.22,14.22,12111900,32
2019-04-05,14.21,14.24,14.13,14.17,14.17,6309000,33
2019-04-08,14.3,14.31,14.25,14.31,14.31,7111000,34
2019-04-09,14.35,14.35,14.26,14.28,14.28,5532200,35
2019-04-10,14.25,14.34,14.25,14.28,14.28,4843400,36
2019-04-11,14.12,14.17,13.97,14.02,14.02,13575400,37
2019-04-12,14.09,14.17,14.04,14.05,14.05,7310300,38
2019-04-15,13.96,14.1,13.92,14.06,14.06,10212400,39
2019-04-16,13.99,14.08,13.97,14.07,14.07,11775600,40
2019-04-17,14.1,14.11,13.99,14.05,14.05,6225500,41
2019-04-18,14.03,14.08,14.03,14.06,14.06,5079900,42
2019-04-22,14.08,14.1,14.04,14.08,14.08,5204700,43
2019-04-23,13.86,13.93,13.83,13.91,13.91,7054100,44
2019-04-24,13.92,14.05,13.92,14,14,4857000,45
2019-04-25,14.02,14.08,13.98,14,14,4324500,46
2019-04-26,14.09,14.14,14.04,14.1,14.1,6323600,47
2019-04-29,14.01,14.01,13.95,13.99,13.99,3615300,48
2019-04-30,13.94,14.04,13.91,14.02,14.02,6561500,49
2019-05-01,13.89,13.93,13.69,13.75,13.75,21701200,50
2019-05-02,13.72,13.75,13.65,13.71,13.71,6896100,51
2019-05-03,13.87,14.03,13.86,13.96,13.96,11477000,52
2019-05-06,13.87,13.99,13.86,13.98,13.98,5917700,53
2019-05-07,13.95,13.98,13.92,13.98,13.98,4725300,54
2019-05-08,13.96,13.98,13.89,13.89,13.89,4686900,55
2019-05-09,13.78,13.88,13.77,13.83,13.83,4295000,56
2019-05-10,13.83,13.87,13.81,13.84,13.84,3084100,57
2019-05-13,13.86,13.87,13.8,13.84,13.84,5973300,58
2019-05-14,13.87,13.92,13.83,13.86,13.86,7100100,59
2019-05-15,13.88,13.89,13.83,13.85,13.85,5351000,60
2019-05-16,13.81,13.82,13.6,13.65,13.65,11341600,61
2019-05-17,13.53,13.54,13.49,13.52,13.52,7504700,62
2019-05-20,13.52,13.57,13.5,13.55,13.55,4386500,63
2019-05-21,13.51,13.56,13.47,13.53,13.53,3969700,64
2019-05-22,13.55,13.58,13.52,13.54,13.54,4528100,65
2019-05-23,13.61,13.72,13.6,13.68,13.68,6396000,66
2019-05-24,13.66,13.67,13.61,13.65,13.65,3010600,67
2019-05-28,13.45,13.46,13.39,13.46,13.46,9200700,68
2019-05-29,13.55,13.57,13.49,13.52,13.52,5309000,69
2019-05-30,13.55,13.66,13.53,13.6,13.6,4695300,70
2019-05-31,13.61,13.76,13.6,13.65,13.65,8236000,71
2019-06-03,13.77,13.9,13.75,13.87,13.87,13206800,72
2019-06-04,13.83,13.92,13.79,13.89,13.89,9326000,73
2019-06-05,14.01,14.03,13.83,13.88,13.88,16061100,74
2019-06-06,14,14.01,13.92,13.92,13.92,7343800,75
2019-06-07,14.06,14.2,14.04,14.06,14.06,15937400,76
2019-06-10,13.83,13.85,13.72,13.78,13.78,11276100,77
2019-06-11,13.78,13.87,13.77,13.81,13.81,5760700,78
2019-06-12,13.84,13.9,13.82,13.84,13.84,5578300,79
2019-06-13,13.88,13.99,13.86,13.96,13.96,6789200,80
2019-06-14,14.01,14.05,13.85,13.91,13.91,9711100,81
2019-06-17,13.97,13.97,13.88,13.9,13.9,3905800,82
2019-06-18,14.01,14.14,13.94,14.05,14.05,12976700,83
2019-06-19,14.02,14.17,14,14.17,14.17,13454000,84
2019-06-20,14.39,14.54,14.35,14.45,14.45,21668700,85
2019-06-21,14.36,14.4,14.25,14.36,14.36,12708800,86
2019-06-24,14.35,14.49,14.35,14.46,14.46,14157600,87
2019-06-25,14.43,14.51,14.3,14.38,14.38,24459400,88
2019-06-26,14.31,14.38,14.26,14.32,14.32,9171200,89
2019-06-27,14.22,14.29,14.2,14.28,14.28,10633600,90
2019-06-28,14.28,14.36,14.25,14.33,14.33,15532400,91
2019-07-01,14.24,14.33,14.17,14.18,14.18,10278000,92
